Habit ID,Habit Name,Frequency,Completion Date,Completion Time
1,running,daily,2025-06-07,00:00:00
1,running,daily,2025-07-03,00:00:00
1,running,daily,2025-07-06,00:00:00
1,running,daily,2025-07-07,00:00:00
1,running,daily,2025-07-08,00:00:00
1,running,daily,2025-07-09,00:00:00
1,running,daily,2025-07-10,09:15:53
1,running,daily,2025-07-11,07:21:42
2,study,weekly,2025-06-07,00:00:00
2,study,weekly,2025-06-26,00:00:00
2,study,weekly,2025-07-06,00:00:00
2,study,weekly,2025-07-09,19:34:19
2,study,weekly,2025-07-09,19:34:24
2,study,weekly,2025-07-09,19:34:29
3,Learn Python,weekly,2025-06-26,00:00:00
3,Learn Python,weekly,2025-07-08,00:00:00
4,a try,daily,2025-06-26,00:00:00
4,a try,daily,2025-07-06,00:00:00
4,a try,daily,2025-07-07,00:00:00
4,a try,daily,2025-07-08,00:00:00
4,a try,daily,2025-07-09,00:00:00
4,a try,daily,2025-07-11,07:21:58
5,Daily habit 1,daily,2025-06-19,00:00:00
5,Daily habit 1,daily,2025-06-20,00:00:00
5,Daily habit 1,daily,2025-06-21,00:00:00
5,Daily habit 1,daily,2025-06-22,00:00:00
5,Daily habit 1,daily,2025-07-06,00:00:00
5,Daily habit 1,daily,2025-07-08,00:00:00
5,Daily habit 1,daily,2025-07-09,00:00:00
5,Daily habit 1,daily,2025-07-10,09:16:06
5,Daily habit 1,daily,2025-07-11,07:22:01
6,weekly 1,weekly,2025-06-07,00:00:00
6,weekly 1,weekly,2025-06-15,00:00:00
6,weekly 1,weekly,2025-06-22,00:00:00
6,weekly 1,weekly,2025-07-08,00:00:00
7,weekly 2,weekly,2025-06-05,00:00:00
7,weekly 2,weekly,2025-06-11,00:00:00
7,weekly 2,weekly,2025-07-08,00:00:00
8,Test daily habit 1,daily,2025-06-27,00:00:00
8,Test daily habit 1,daily,2025-07-06,00:00:00
8,Test daily habit 1,daily,2025-07-09,20:33:06
9,Test daily habit 2,daily,2025-06-27,00:00:00
9,Test daily habit 2,daily,2025-06-28,00:00:00
9,Test daily habit 2,daily,2025-06-29,00:00:00
9,Test daily habit 2,daily,2025-06-30,00:00:00
9,Test daily habit 2,daily,2025-07-01,00:00:00
9,Test daily habit 2,daily,2025-07-02,00:00:00
9,Test daily habit 2,daily,2025-07-03,00:00:00
9,Test daily habit 2,daily,2025-07-05,00:00:00
9,Test daily habit 2,daily,2025-07-06,00:00:00
9,Test daily habit 2,daily,2025-07-07,00:00:00
9,Test daily habit 2,daily,2025-07-08,00:00:00
9,Test daily habit 2,daily,2025-07-09,00:00:00
9,Test daily habit 2,daily,2025-07-09,18:28:12
9,Test daily habit 2,daily,2025-07-10,09:16:17
9,Test daily habit 2,daily,2025-07-11,07:22:17
10,Weekly 1 logic test,weekly,2025-06-27,00:00:00
10,Weekly 1 logic test,weekly,2025-07-05,00:00:00
10,Weekly 1 logic test,weekly,2025-07-06,00:00:00
11,weekly 2 logic  test missed weeks,weekly,2025-06-27,00:00:00
11,weekly 2 logic  test missed weeks,weekly,2025-07-09,20:33:36
12,cheese,daily,2025-06-29,00:00:00
12,cheese,daily,2025-06-30,00:00:00
12,cheese,daily,2025-07-01,00:00:00
12,cheese,daily,2025-07-02,00:00:00
12,cheese,daily,2025-07-03,00:00:00
12,cheese,daily,2025-07-06,00:00:00
12,cheese,daily,2025-07-07,00:00:00
12,cheese,daily,2025-07-08,00:00:00
12,cheese,daily,2025-07-09,00:00:00
12,cheese,daily,2025-07-11,07:23:05
13,mid night,daily,2025-07-06,00:00:00
13,mid night,daily,2025-07-07,00:00:00
13,mid night,daily,2025-07-08,00:00:00
13,mid night,daily,2025-07-09,00:00:00
13,mid night,daily,2025-07-09,17:13:42
13,mid night,daily,2025-07-09,17:49:03
13,mid night,daily,2025-07-10,09:16:11
13,mid night,daily,2025-07-11,07:23:12
14,time to dance,daily,2025-07-09,16:18:38
14,time to dance,daily,2025-07-09,17:13:35
14,time to dance,daily,2025-07-09,17:19:33
14,time to dance,daily,2025-07-09,17:36:46
14,time to dance,daily,2025-07-09,17:36:55
14,time to dance,daily,2025-07-09,17:48:52
15,wash,weekly,2025-07-09,20:49:34
16,,daily,2025-07-09,21:04:32
16,,daily,2025-07-11,07:23:18
17,0000,daily,2025-07-09,21:19:27
17,0000,daily,2025-07-10,10:39:22
18,ee,weekly,2025-07-09,21:25:10
19,rrr,weekly,2025-07-09,21:30:52
20,ttt,weekly,2025-07-09,21:36:26
21,www,weekly,2025-07-09,22:03:53
22,444,daily,2025-07-10,10:48:39
